longitude,latitude,altitude,distance_from_boundarycentre
73.5687,18.868647,-21.38,3273.0
73.56872,18.868673,-20.89,3271.7
73.568726,18.8687,-20.5,3269.9
73.56874,18.868727,-20.16,3268.6
73.568756,18.868753,-19.92,3267.3
73.56876,18.86878,-19.73,3265.6
73.56878,18.868805,-19.62,3264.5
73.56879,18.868832,-19.88,3262.7
73.568794,18.86886,-19.97,3260.7
73.56881,18.868887,-20.15,3259.5
73.56882,18.868914,-20.34,3257.7
73.56883,18.86894,-20.55,3256.5
73.56884,18.868967,-20.79,3254.7
73.56885,18.868994,-21.03,3252.9
73.56886,18.86902,-21.31,3251.7
73.56887,18.869047,-21.62,3249.9
73.56888,18.869076,-21.99,3248.0
73.56889,18.869102,-22.11,3246.8
73.5689,18.869131,-22.43,3244.9
73.56891,18.869158,-22.77,3243.1
73.568924,18.869184,-23.14,3241.9
73.56893,18.869211,-23.6,3240.1
73.56895,18.869238,-24.11,3238.9
73.568954,18.869265,-24.65,3237.2
73.56897,18.86929,-25.24,3236.1
73.56898,18.869318,-25.82,3234.2
73.56899,18.869345,-26.34,3233.0
73.569,18.869373,-26.87,3231.1
73.56901,18.8694,-27.37,3229.4
73.56902,18.869427,-27.83,3228.2
73.56903,18.869453,-28.29,3226.4
73.56904,18.869482,-28.71,3224.6
73.56905,18.869509,-29.07,3223.4
73.56906,18.869537,-29.41,3221.5
73.56907,18.869564,-29.74,3219.8
73.569084,18.86959,-30.06,3218.6
73.56909,18.86962,-30.4,3216.7
73.5691,18.869646,-30.73,3215.0
73.56911,18.869675,-31.07,3213.1
73.569115,18.869703,-31.42,3211.3
73.56912,18.86973,-31.77,3209.6
73.56913,18.869759,-32.08,3207.7
73.569145,18.869785,-32.41,3206.5
73.56915,18.869812,-32.71,3204.8
73.56917,18.869837,-32.98,3203.8
73.56918,18.869862,-33.26,3202.8
73.5692,18.869886,-33.5,3201.8
73.56922,18.869907,-33.73,3201.7
73.569244,18.86993,-33.95,3201.4
73.56927,18.869951,-34.18,3201.2
73.56929,18.86997,-34.39,3201.3
73.56931,18.86999,-34.61,3201.3
73.569336,18.870008,-34.85,3201.3
73.56937,18.870026,-35.15,3202.1
73.56939,18.870045,-35.53,3202.1
73.56941,18.870062,-35.98,3202.3
73.56944,18.870079,-36.49,3203.0
73.569466,18.870096,-37.06,3203.2
73.569496,18.870113,-37.69,3204.0
73.56952,18.87013,-38.38,3204.2
73.56955,18.870146,-39.1,3205.1
73.56957,18.870163,-39.8,3205.3
73.5696,18.87018,-40.42,3206.1
73.569626,18.870197,-40.43,3206.3
73.56966,18.870214,-40.03,3207.1
73.56968,18.870232,-36.38,3207.3
73.56971,18.87025,-35.83,3207.9
73.56973,18.870266,-35.33,3208.3
73.569756,18.870285,-34.87,3208.4
73.569786,18.870302,-34.41,3209.2
73.56981,18.87032,-33.33,3209.4
73.56984,18.870337,-32.24,3210.2
73.56986,18.870354,-31.4,3210.5
73.56989,18.87037,-27.93,3211.3
73.569916,18.870388,-24.78,3211.5
73.56995,18.870405,-27.95,3212.3
73.56997,18.870424,-27.98,3212.4
73.56999,18.870443,-27.88,3212.6
73.57002,18.87046,-27.57,3213.4
73.570045,18.87048,-27.17,3213.5
73.57007,18.870497,-27.33,3213.8
73.5701,18.870514,-27.47,3214.6
73.57012,18.870533,-27.29,3214.7
73.57015,18.870548,-30.28,3215.7
73.570175,18.870565,-33.31,3216.0
73.5702,18.870583,-33.14,3216.3
73.57023,18.870598,-32.89,3217.3
73.57025,18.870615,-32.48,3217.6
73.570274,18.870632,-32.17,3217.9
73.570305,18.87065,-31.82,3218.8
73.57033,18.870665,-31.46,3219.2
73.57036,18.87068,-31.11,3220.3
73.57038,18.870697,-30.84,3220.6
73.570404,18.870712,-30.53,3221.0
73.570435,18.87073,-30.17,3221.9
73.57046,18.870747,-29.78,3222.3
73.57049,18.870762,-29.27,3223.3
73.57051,18.870779,-28.9,3223.6
73.57054,18.870796,-28.51,3224.5
73.57057,18.870811,-28.54,3225.6
73.570595,18.870829,-28.91,3225.9
73.570625,18.870844,-26.08,3227.0
73.57065,18.870863,-23.29,3227.2
73.57067,18.870884,-20.61,3227.2
73.570694,18.870905,-19.96,3227.3
73.57071,18.870928,-20.74,3226.6
73.57073,18.870953,-21.66,3226.4
73.57075,18.870977,-22.58,3225.5
73.57076,18.871004,-23.49,3224.6
73.57077,18.87103,-23.95,3223.1
73.570786,18.87106,-24.05,3222.0
73.57079,18.871086,-27.28,3220.5
73.5708,18.871115,-30.43,3218.8
73.5708,18.871143,-33.46,3216.6
73.57081,18.871174,-34.4,3214.8
73.57081,18.871202,-33.9,3212.5
73.57081,18.871231,-33.37,3210.3
73.5708,18.87126,-32.81,3207.5
73.5708,18.871288,-32.23,3205.3
73.57079,18.871317,-31.67,3202.5
73.570786,18.871346,-31.15,3199.7
73.57078,18.871374,-30.7,3196.9
73.57077,18.8714,-30.35,3194.2
73.57076,18.871428,-30.07,3191.6
73.57075,18.871454,-29.9,3188.4
73.57074,18.87148,-29.82,3185.7
73.570724,18.871508,-29.83,3182.5
73.57072,18.871536,-29.95,3179.7
73.5707,18.871563,-30.16,3176.5
73.570694,18.87159,-30.43,3173.9
73.57069,18.871616,-30.76,3171.2
73.57067,18.871643,-31.14,3168.0
73.57066,18.87167,-31.53,3165.4
73.570656,18.871698,-31.96,3162.6
73.57064,18.871725,-32.4,3159.4
73.57063,18.871752,-32.84,3156.7
73.57062,18.871778,-33.26,3153.5
73.57061,18.871803,-33.68,3151.0
73.570595,18.87183,-34.07,3147.8
73.57058,18.871857,-34.45,3144.6
73.57057,18.871883,-34.83,3142.0
73.57056,18.87191,-35.18,3138.8
73.57054,18.871935,-35.54,3135.7
73.57053,18.871964,-35.88,3132.9
73.57052,18.87199,-36.23,3129.7
73.57051,18.872017,-36.57,3127.1
73.570496,18.872044,-36.92,3123.9
73.57049,18.872068,-37.27,3121.4
73.57047,18.872095,-37.64,3118.2
73.57046,18.872122,-38.0,3114.9
73.57045,18.872149,-38.39,3112.3
73.570435,18.872175,-38.79,3109.1
73.57043,18.872202,-39.21,3106.5
73.57042,18.872229,-39.65,3103.9
73.570404,18.872255,-40.11,3100.7
73.5704,18.872284,-40.59,3097.9
73.57038,18.87231,-40.94,3094.7
73.5711,18.870897,-26.35,3258.1
73.57111,18.87087,-26.08,3261.3
73.57113,18.870842,-25.86,3264.7
73.571144,18.870813,-25.73,3268.0
73.57116,18.870785,-25.64,3271.4
73.571175,18.870756,-25.6,3274.8
73.57119,18.870728,-25.6,3278.2
73.571205,18.870699,-25.62,3281.6
73.57122,18.87067,-25.65,3284.9
73.571236,18.87064,-25.7,3288.5
73.57125,18.870611,-25.57,3291.8
73.571266,18.870583,-25.3,3295.2
73.57128,18.870554,-24.96,3298.6
73.5713,18.870523,-24.41,3302.1
73.571304,18.870495,-23.79,3304.9
73.57132,18.870466,-23.08,3308.3
73.571335,18.870436,-22.3,3311.8
73.57135,18.870407,-21.47,3315.2
73.571365,18.870378,-20.62,3318.6
73.57138,18.870352,-19.69,3321.8
73.571396,18.870323,-18.91,3325.2
73.57141,18.870295,-18.22,3328.6
73.57143,18.870266,-17.6,3332.0
73.571434,18.870237,-17.16,3334.8
73.57144,18.870209,-16.8,3337.6
73.57145,18.870178,-16.55,3340.6
73.57146,18.870148,-16.43,3343.6
73.57146,18.870117,-16.45,3346.0
73.57145,18.870087,-16.62,3347.8
73.57144,18.870056,-16.96,3349.6
73.571434,18.870028,-17.51,3351.3
73.57143,18.869999,-18.2,3353.0
73.57141,18.869972,-19.1,3354.0
73.57139,18.869946,-20.17,3354.4
73.571365,18.869923,-21.34,3354.6
73.57135,18.869898,-22.67,3355.4
73.57132,18.869875,-24.06,3355.0
73.5713,18.869852,-25.49,3355.1
73.57128,18.869827,-26.94,3356.0
73.57126,18.869804,-28.42,3356.1
73.571236,18.86978,-29.84,3356.4
73.57121,18.869757,-31.26,3356.5
73.57119,18.869732,-32.58,3356.8
73.57117,18.869707,-33.8,3357.2
73.571144,18.86968,-34.96,3357.6
73.57113,18.869656,-36.0,3358.5
73.571106,18.86963,-36.94,3358.8
73.57108,18.869604,-37.82,3359.3
73.57107,18.86958,-38.6,3360.2
73.571045,18.869555,-39.31,3360.5
73.57103,18.869528,-39.93,3361.6
73.57101,18.869503,-40.34,3361.9
73.57099,18.869476,-39.77,3362.9
73.57097,18.869452,-39.13,3363.3
73.570946,18.869425,-38.49,3363.8
73.57093,18.869402,-37.77,3364.5
73.57091,18.869375,-33.93,3365.1
73.570885,18.86935,-30.07,3365.4
73.57086,18.869326,-26.21,3365.8
73.57084,18.869303,-25.31,3366.0
73.57082,18.869278,-24.58,3366.9
73.5708,18.869255,-24.02,3367.1
73.57077,18.869232,-21.01,3366.8
73.57075,18.869207,-18.0,3367.2
73.570724,18.869184,-14.93,3367.4
73.5707,18.869164,-15.18,3367.5
73.57068,18.86914,-18.49,3367.8
73.570656,18.86912,-21.74,3367.9
73.570625,18.869099,-24.96,3367.4
73.5706,18.869078,-25.14,3367.5
73.57058,18.869057,-25.04,3367.6
73.57056,18.869036,-24.85,3367.7
73.570526,18.869015,-28.0,3367.3
73.5705,18.868996,-31.13,3367.2
73.57048,18.868975,-31.38,3367.3
73.57045,18.868954,-28.37,3366.9
73.57043,18.86893,-25.35,3367.2
73.570404,18.868906,-22.39,3367.6
73.57038,18.868881,-19.14,3368.1
73.570366,18.868855,-15.9,3369.2
73.57034,18.868828,-12.76,3369.8
73.57033,18.868801,-9.63,3371.0
73.57031,18.868773,-6.49,3372.3
73.5703,18.868744,-6.16,3373.6
73.57028,18.868715,-8.7,3374.9
73.57027,18.868687,-11.23,3376.2
73.57026,18.868658,-13.74,3378.1
73.570244,18.86863,-16.23,3379.4
73.57023,18.868603,-19.05,3380.6
73.57022,18.868574,-21.88,3382.4
73.570206,18.868546,-24.73,3383.7
73.57019,18.868519,-27.58,3384.9
73.57018,18.86849,-30.46,3386.8
73.57017,18.868462,-30.53,3388.1
73.57015,18.868433,-30.61,3389.5
73.57014,18.868406,-30.7,3390.7
73.57013,18.868378,-30.81,3392.5
73.570114,18.868351,-30.92,3393.7
73.5701,18.868322,-31.01,3395.1
73.57008,18.868296,-28.81,3396.3
73.570076,18.868269,-28.9,3398.0
73.57006,18.868242,-28.96,3399.2
73.570045,18.868214,-29.01,3400.6
73.57003,18.868187,-29.05,3401.8
73.570015,18.868158,-29.09,3403.2
73.57,18.868132,-29.17,3404.4
73.569984,18.868105,-29.25,3405.6
73.56997,18.868078,-29.34,3406.8
73.569954,18.868052,-29.42,3408.1
73.56994,18.868027,-31.79,3409.1
73.56992,18.868,-31.88,3410.4
73.56991,18.867975,-31.98,3411.4
73.569885,18.86795,-29.81,3412.0
73.56987,18.867926,-29.96,3413.1
73.569855,18.8679,-30.1,3414.1
73.56983,18.867876,-30.23,3414.7
73.56982,18.867851,-30.36,3415.8
73.5698,18.867825,-30.5,3417.0
73.569786,18.8678,-30.66,3418.1
